nombre,sector,telefono,email,direccion,ciudad,pais,macro_area,notas,fecha_ultima_accion,fecha_proxima_accion,tamano_empresa,potencial_empresa,tipologia_modula,usuario_asignado_id,created_by,campaign_id,activa,estado_empresa,texto1_empr,texto2_empr,texto3_empr,fecha1_empr,fecha2_empr,fecha3_empr,numerico1_empr,numerico2_empr,numerico3_empr,company,company_id
empresa prueba1,metal,425524245,email1@mail.com1,a,bilbao,españa,norte,dsfsf,25/10/1989,25/10/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,2/2/2022,2/2/2022,2/2/2022,1,2,3,aaa,Modula
empresa prueba2,metal,425524245,email1@mail.com2,a,bilbao,españa,norte,dsfsf,26/10/1989,26/10/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,3/2/2022,3/2/2022,3/2/2022,1,2,3,aaa,Modula
empresa prueba3,metal,425524245,email1@mail.com3,a,bilbao,españa,norte,dsfsf,27/10/1989,27/10/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,4/2/2022,4/2/2022,4/2/2022,1,2,3,aaa,Modula
empresa prueba4,metal,425524245,email1@mail.com4,a,bilbao,españa,norte,dsfsf,28/10/1989,28/10/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,5/2/2022,5/2/2022,5/2/2022,1,2,3,aaa,Modula
empresa prueba5,metal,425524245,email1@mail.com5,a,bilbao,españa,norte,dsfsf,29/10/1989,29/10/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,6/2/2022,6/2/2022,6/2/2022,1,2,3,aaa,Modula
empresa prueba6,metal,425524245,email1@mail.com6,a,bilbao,españa,norte,dsfsf,30/10/1989,30/10/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,7/2/2022,7/2/2022,7/2/2022,1,2,3,aaa,Modula
empresa prueba7,metal,425524245,email1@mail.com7,a,bilbao,españa,norte,dsfsf,31/10/1989,31/10/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,8/2/2022,8/2/2022,8/2/2022,1,2,3,aaa,Modula
empresa prueba8,metal,425524245,email1@mail.com8,a,bilbao,españa,norte,dsfsf,1/11/1989,1/11/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,9/2/2022,9/2/2022,9/2/2022,1,2,3,aaa,Modula
empresa prueba9,metal,425524245,email1@mail.com9,a,bilbao,españa,norte,dsfsf,2/11/1989,2/11/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,10/2/2022,10/2/2022,10/2/2022,1,2,3,aaa,Modula
empresa prueba10,metal,425524245,email1@mail.com10,a,bilbao,españa,norte,dsfsf,3/11/1989,3/11/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,11/2/2022,11/2/2022,11/2/2022,1,2,3,aaa,Modula
empresa prueba11,metal,425524245,email1@mail.com11,a,bilbao,españa,norte,dsfsf,4/11/1989,4/11/2090,1,3,a,aaaa@aaaa.com,aaaa@aaaa.com,prospeccion norte,,,a,a,a,12/2/2022,12/2/2022,12/2/2022,1,2,3,aaa,Modula
